level,hanja,mean,pron,hms
3ii,勿,말,물,말 물
6__,美,아름다울,미,아름다울 미
6__,米,쌀,미,쌀 미
4ii,未,아닐,미,아닐 미
4ii,味,맛,미,맛 미
3ii,微,작을,미,작을 미
3ii,尾,꼬리,미,꼬리 미
3__,迷,미혹할,미,미혹할 미
3__,眉,눈썹,미,눈썹 미
8__,民,백성,민,백성 민
3__,敏,민첩할,민,민첩할 민
3__,憫,민망할,민,민망할 민
4ii,密,빽빽할,밀,빽빽할 밀
3__,蜜,꿀,밀,꿀 밀
6__,朴,성,박,성 박
4ii,博,넓을,박,넓을 박
4__,拍,칠,박,칠 박
3ii,迫,핍박할,박,핍박할 박
3ii,薄,엷을,박,엷을 박
3__,泊,머무를/배댈,박,머무를/배댈 박
6ii,半,반,반,반 반
6ii,反,돌이킬/돌아올,반,돌이킬/돌아올 반
6ii,班,나눌,반,나눌 반
3ii,般,가지/일반,반,가지/일반 반
3ii,盤,소반,반,소반 반
3ii,飯,밥,반,밥 반
3__,伴,짝,반,짝 반
3__,叛,배반할,반,배반할 반
3__,返,돌이킬,반,돌이킬 반
6ii,發,필,발,필 발
4__,髮,터럭,발,터럭 발
3ii,拔,뽑을,발,뽑을 발
7ii,方,모,방,모 방
6ii,放,놓을,방,놓을 방
4ii,防,막을,방,막을 방
4ii,房,방,방,방 방
4ii,訪,찾을,방,찾을 방
4__,妨,방해할,방,방해할 방
3ii,芳,꽃다울,방,꽃다울 방
3__,倣,본뜰,방,본뜰 방
3__,傍,곁,방,곁 방
3__,邦,나라,방,나라 방
5__,倍,곱,배,곱 배
4ii,拜,절,배,절 배
4ii,背,등,배,등 배
4ii,配,나눌/짝,배,나눌/짝 배
3ii,輩,무리,배,무리 배
3ii,培,북돋울,배,북돋울 배
3ii,排,밀칠,배,밀칠 배
3__,杯,잔,배,잔 배
8__,白,흰,백,흰 백
7__,百,일백,백,일백 백
3ii,伯,맏,백,맏 백
6__,番,차례,번,차례 번
3ii,繁,번성할,번,번성할 번
3__,飜,번역할,번,번역할 번
3__,煩,번거로울,번,번거로울 번
4ii,罰,벌할,벌,벌할 벌
4ii,伐,칠,벌,칠 벌
4__,犯,범할,범,범할 범
4__,範,법,범,법 범
3ii,凡,무릇,범,무릇 범
5ii,法,법,법,법 법
4ii,壁,벽,벽,벽 벽
3ii,碧,푸를,벽,푸를 벽
5ii,變,변할,변,변할 변
4ii,邊,가,변,가 변
4__,辯,말씀,변,말씀 변
3__,辨,분별할,변,분별할 변
6__,別,다를/나눌,별,다를/나눌 별
6__,病,병,병,병 병
5ii,兵,병사,병,병사 병
3ii,丙,남녘,병,남녘 병
3__,竝,나란히,병,나란히 병
3__,屛,병풍,병,병풍 병
4ii,保,지킬,보,지킬 보
4ii,步,걸음,보,걸음 보
4ii,報,갚을/알릴,보,갚을/알릴 보
4ii,寶,보배,보,보배 보
4__,普,넓을,보,넓을 보
3ii,譜,족보,보,족보 보
3ii,補,기울,보,기울 보
6__,服,옷,복,옷 복
5ii,福,복,복,복 복
4ii,復,회복할,복,회복할 복|다시 부
4__,伏,엎드릴,복,엎드릴 복
4__,複,겹칠,복,겹칠 복
3ii,腹,배,복,배 복
3__,卜,점,복,점 복
6__,本,근본,본,근본 본
5ii,奉,받들,봉,받들 봉
3ii,鳳,봉새,봉,봉새 봉
3ii,封,봉할,봉,봉할 봉
3ii,峯,봉우리,봉,봉우리 봉
3ii,逢,만날,봉,만날 봉
3__,蜂,벌,봉,벌 봉
8__,父,아비,부,아비 부
7__,夫,지아비,부,지아비 부
6ii,部,떼,부,떼 부
4ii,府,마을,부,마을 부
4ii,富,부자,부,부자 부
4ii,副,버금,부,버금 부
4ii,婦,며느리,부,며느리 부
4__,否,아닐,부,아닐 부
4__,負,질,부,질 부
3ii,覆,덮을,부,덮을 부|다시 복
3ii,符,부호,부,부호 부
3ii,付,부칠,부,부칠 부
3ii,浮,뜰,부,뜰 부
3ii,賦,부세,부,부세 부
3ii,腐,썩을,부,썩을 부
3ii,附,붙을,부,붙을 부
3ii,簿,문서,부,문서 부
3ii,扶,도울,부,도울 부
3__,赴,다다를/갈,부,다다를/갈 부
8__,北,북녘,북,북녘 북|달아날 배
6ii,分,나눌,분,나눌 분
4__,粉,가루,분,가루 분
4__,憤,분할,분,분할 분
3ii,奔,달릴,분,달릴 분
3ii,奮,떨칠,분,떨칠 분
3ii,紛,어지러울,분,어지러울 분
3__,墳,무덤,분,무덤 분
7ii,不,아닐,불,아닐 불
4ii,佛,부처,불,부처 불
3ii,拂,떨칠,불,떨칠 불
3__,崩,무너질,붕,무너질 붕
3__,朋,벗,붕,벗 붕
5__,比,견줄,비,견줄 비
5__,費,쓸,비,쓸 비
5__,鼻,코,비,코 비
4ii,飛,날,비,날 비
4ii,備,갖출,비,갖출 비
4ii,非,아닐,비,아닐 비
4ii,悲,슬플,비,슬플 비
4__,批,비평할,비,비평할 비
4__,祕,숨길,비,숨길 비
4__,碑,비석,비,비석 비
3ii,妃,왕비,비,왕비 비
3ii,婢,계집종,비,계집종 비
3ii,肥,살찔,비,살찔 비
3ii,卑,낮을,비,낮을 비
4ii,貧,가난할,빈,가난할 빈
3__,賓,손,빈,손 빈
3__,頻,자주,빈,자주 빈
5__,氷,얼음,빙,얼음 빙
3__,聘,부를,빙,부를 빙
8__,四,넉,사,넉 사
7ii,事,일,사,일 사
6ii,社,모일,사,모일 사
6__,使,하여금/부릴,사,하여금/부릴 사
6__,死,죽을,사,죽을 사
5ii,史,사기,사,사기 사
5ii,士,선비,사,선비 사
5ii,仕,섬길,사,섬길 사
5__,寫,베낄,사,베낄 사
5__,思,생각,사,생각 사
5__,査,조사할,사,조사할 사
4ii,寺,절,사,절 사
4ii,師,스승,사,스승 사
4ii,謝,사례할,사,사례할 사
4ii,舍,집,사,집 사
4__,辭,말씀,사,말씀 사
4__,私,사사,사,사사 사
4__,絲,실,사,실 사
4__,射,쏠,사,쏠 사
3ii,邪,간사할,사,간사할 사
3ii,沙,모래,사,모래 사
3ii,司,맡을,사,맡을 사
3ii,蛇,긴뱀,사,긴뱀 사
3ii,斜,비낄,사,비낄 사
3ii,詞,말/글,사,말/글 사
3ii,祀,제사,사,제사 사
3__,巳,뱀,사,뱀 사
3__,捨,버릴,사,버릴 사
3__,斯,이,사,이 사
3__,詐,속일,사,속일 사
3__,賜,줄,사,줄 사
3__,似,닮을,사,닮을 사
3ii,削,깎을,삭,깎을 삭
3__,朔,초하루,삭,초하루 삭
8__,山,메,산,메 산
7__,算,셈,산,셈 산
5ii,産,낳을,산,낳을 산
4__,散,흩을,산,흩을 산
4ii,殺,죽일,살,죽일 살|감할/빠를 쇄
8__,三,석,삼,석 삼
3ii,森,수풀,삼,수풀 삼
7ii,上,윗,상,윗 상
3ii,尙,오히려,상,오히려 상
5ii,商,장사,상,장사 상
5ii,相,서로,상,서로 상
5__,賞,상줄,상,상줄 상
4ii,常,떳떳할,상,떳떳할 상
4ii,床,상,상,상 상
4ii,想,생각,상,생각 상
4ii,狀,형상,상,형상 상|문서 장
4__,傷,다칠,상,다칠 상
4__,象,코끼리,상,코끼리 상
3ii,霜,서리,상,서리 상
3ii,裳,치마,상,치마 상
3ii,桑,뽕나무,상,뽕나무 상
3ii,喪,잃을,상,잃을 상
3ii,詳,자세할,상,자세할 상
3ii,像,모양,상,모양 상
3ii,償,갚을,상,갚을 상
3__,祥,상서,상,상서 상
3__,嘗,맛볼,상,맛볼 상
7__,色,빛,색,빛 색
3ii,索,찾을,색,찾을 색|노 삭
3ii,塞,막힐,색,막힐 색|변방 새
8__,生,날,생,날 생
8__,西,서녘,서,서녘 서
6ii,書,글,서,글 서
5__,序,차례,서,차례 서
3ii,恕,용서할,서,용서할 서
3ii,緖,실마리,서,실마리 서
3ii,徐,천천할,서,천천할 서
3ii,署,마을,서,마을 서
3__,暑,더울,서,더울 서
3__,敍,펼,서,펼 서
3__,逝,갈,서,갈 서
3__,庶,여러,서,여러 서
3__,誓,맹세할,서,맹세할 서
7__,夕,저녁,석,저녁 석
6__,席,자리,석,자리 석
6__,石,돌,석,돌 석
3ii,釋,풀,석,풀 석
3__,昔,예,석,예 석
3__,析,쪼갤,석,쪼갤 석
0__,-,-,-,-
7__,然,그럴,연,그럴 연
4ii,煙,연기,연,연기 연
4ii,硏,갈,연,갈 연
4ii,演,펼,연,펼 연
4__,燃,탈,연,탈 연
4__,鉛,납,연,납 연
4__,緣,인연,연,인연 연
4__,延,늘일,연,늘일 연
3ii,沿,물따라갈/따를,연,물따라갈/따를 연
3ii,軟,연할,연,연할 연
3ii,宴,잔치,연,잔치 연
3ii,燕,제비,연,제비 연
5__,熱,더울,열,더울 열
3ii,悅,기쁠,열,기쁠 열
3__,閱,볼,열,볼 열
3ii,染,물들,염,물들 염
3ii,鹽,소금,염,소금 염
3ii,炎,불꽃,염,불꽃 염
5__,葉,잎,엽,잎 엽
6__,英,꽃부리,영,꽃부리 영
6__,永,길,영,길 영
4ii,榮,영화,영,영화 영
4__,迎,맞을,영,맞을 영
4__,映,비칠,영,비칠 영
4__,營,경영할,영,경영할 영
3ii,影,그림자,영,그림자 영
3__,詠,읊을,영,읊을 영
3__,泳,헤엄칠,영,헤엄칠 영
4ii,藝,재주,예,재주 예
4__,豫,미리,예,미리 예
3ii,譽,기릴/명예,예,기릴/명예 예
3__,銳,날카로울,예,날카로울 예
8__,五,다섯,오,다섯 오
7ii,午,낮,오,낮 오
4ii,誤,그르칠,오,그르칠 오
3ii,烏,까마귀,오,까마귀 오
3ii,悟,깨달을,오,깨달을 오
3__,嗚,슬플,오,슬플 오
3__,娛,즐길,오,즐길 오
3__,吾,나,오,나 오
3__,傲,거만할,오,거만할 오
3__,汚,더러울,오,더러울 오
5__,屋,집,옥,집 옥
4ii,玉,구슬,옥,구슬 옥
3ii,獄,옥,옥,옥 옥
6__,溫,따뜻할,온,따뜻할 온
3__,擁,낄,옹,낄 옹
3__,翁,늙은이,옹,늙은이 옹
3ii,瓦,기와,와,기와 와
3__,臥,누울,와,누울 와
5__,完,완전할,완,완전할 완
3ii,緩,느릴,완,느릴 완
3__,曰,가로,왈,가로 왈
8__,王,임금,왕,임금 왕
4ii,往,갈,왕,갈 왕
8__,外,바깥,외,바깥 외
3__,畏,두려워할,외,두려워할 외
5ii,要,요긴할,요,요긴할 요
5__,曜,빛날,요,빛날 요
4ii,謠,노래,요,노래 요
3__,遙,멀,요,멀 요
3__,腰,허리,요,허리 요
3__,搖,흔들,요,흔들 요
5__,浴,목욕할,욕,목욕할 욕
3ii,慾,욕심,욕,욕심 욕
3ii,欲,하고자할,욕,하고자할 욕
3ii,辱,욕될,욕,욕될 욕
6ii,勇,날랠,용,날랠 용
6ii,用,쓸,용,쓸 용
4ii,容,얼굴,용,얼굴 용
3__,庸,떳떳할,용,떳떳할 용
7ii,右,오를/오른(쪽),우,오를/오른(쪽) 우
5ii,友,벗,우,벗 우
5ii,雨,비,우,비 우
5__,牛,소,우,소 우
4__,優,넉넉할,우,넉넉할 우
4__,遇,만날,우,만날 우
4__,郵,우편,우,우편 우
3ii,憂,근심,우,근심 우
3ii,偶,짝,우,짝 우
3ii,宇,집,우,집 우
3ii,愚,어리석을,우,어리석을 우
3ii,羽,깃,우,깃 우
3__,于,어조사,우,어조사 우
3__,尤,더욱,우,더욱 우
3__,又,또,우,또 우
6ii,運,옮길,운,옮길 운
5ii,雲,구름,운,구름 운
3ii,韻,운,운,운 운
3__,云,이를,운,이를 운
5__,雄,수컷,웅,수컷 웅
6__,園,동산,원,동산 원
6__,遠,멀,원,멀 원
5ii,元,으뜸,원,으뜸 원
5__,原,언덕,원,언덕 원
5__,院,집,원,집 원
5__,願,원할,원,원할 원
4ii,圓,둥글,원,둥글 원
4ii,員,인원,원,인원 원
4__,怨,원망할,원,원망할 원
4__,援,도울,원,도울 원
4__,源,근원,원,근원 원
8__,月,달,월,달 월
3ii,越,넘을,월,넘을 월
5ii,偉,클,위,클 위
5__,位,자리,위,자리 위
4ii,衛,지킬,위,지킬 위
4ii,爲,하/할,위,하/할 위
4__,圍,에워쌀,위,에워쌀 위
4__,委,맡길,위,맡길 위
4__,威,위엄,위,위엄 위
4__,慰,위로할,위,위로할 위
4__,危,위태할,위,위태할 위
3ii,胃,밥통,위,밥통 위
3ii,僞,거짓,위,거짓 위
3ii,謂,이를,위,이를 위
3__,違,어긋날,위,어긋날 위
3__,緯,씨,위,씨 위
7__,有,있을,유,있을 유
6__,由,말미암을,유,말미암을 유
6__,油,기름,유,기름 유
4__,遊,놀,유,놀 유
4__,乳,젖,유,젖 유
4__,儒,선비,유,선비 유
4__,遺,남길,유,남길 유
3ii,猶,오히려,유,오히려 유
3ii,幽,그윽할,유,그윽할 유
3ii,幼,어릴,유,어릴 유
3ii,柔,부드러울,유,부드러울 유
3ii,維,벼리,유,벼리 유
3ii,裕,넉넉할,유,넉넉할 유
3ii,誘,꾈,유,꾈 유
3ii,悠,멀,유,멀 유
3__,唯,오직,유,오직 유
3__,酉,닭,유,닭 유
3__,愈,나을,유,나을 유
3__,惟,생각할,유,생각할 유
level,hanja,mean,pron,hms
4ii,敵,대적할,적,대적할 적
4__,積,쌓을,적,쌓을 적
4__,籍,문서,적,문서 적
4__,適,맞을,적,맞을 적
4__,績,길쌈,적,길쌈 적
4__,賊,도둑,적,도둑 적
3ii,跡,발자취,적,발자취 적
3ii,笛,피리,적,피리 적
3ii,摘,딸,적,딸 적
3ii,蹟,자취,적,자취 적
3__,滴,물방울,적,물방울 적
7ii,電,번개,전,번개 전
7ii,前,앞,전,앞 전
7ii,全,온전,전,온전 전
6ii,戰,싸움,전,싸움 전
5ii,傳,전할,전,전할 전
5ii,典,법,전,법 전
5ii,展,펼,전,펼 전
4ii,田,밭,전,밭 전
4__,專,오로지,전,오로지 전
4__,轉,구를,전,구를 전
4__,錢,돈,전,돈 전
3ii,殿,전각,전,전각 전
5ii,節,마디,절,마디 절
5ii,切,끊을,절,끊을 절|온통 체
4ii,絶,끊을,절,끊을 절
4__,折,꺾을,절,꺾을 절
3__,竊,훔칠,절,훔칠 절
5ii,店,가게,점,가게 점
4__,點,점,점,점 점
4__,占,점령할/점칠,점,점령할/점칠 점
3ii,漸,점점,점,점점 점
4ii,接,이을,접,이을 접
3__,蝶,나비,접,나비 접
7ii,正,바를,정,바를 정
6ii,庭,뜰,정,뜰 정
6__,定,정할,정,정할 정
5ii,情,뜻,정,뜻 정
5__,停,머물,정,머물 정
4ii,政,정사,정,정사 정
4ii,程,한도/길,정,한도/길 정
4ii,精,정할,정,정할 정
4__,靜,고요할,정,고요할 정
4__,丁,고무래/장정,정,고무래/장정 정
4__,整,가지런할,정,가지런할 정
3ii,淨,깨끗할,정,깨끗할 정
3ii,頂,정수리,정,정수리 정
3ii,井,우물,정,우물 정
3ii,亭,정자,정,정자 정
3ii,廷,조정,정,조정 정
3ii,貞,곧을,정,곧을 정
3ii,征,칠,정,칠 정
3__,訂,바로잡을,정,바로잡을 정
8__,弟,아우,제,아우 제
6ii,第,차례,제,차례 제
6ii,題,제목,제,제목 제
4ii,濟,건널,제,건널 제
4ii,提,끌,제,끌 제
4ii,制,절제할,제,절제할 제
4ii,製,지을,제,지을 제
4ii,除,덜,제,덜 제
4ii,際,즈음/가,제,즈음/가 제
4ii,祭,제사,제,제사 제
4__,帝,임금,제,임금 제
3ii,諸,모두,제,모두 제
3ii,齊,가지런할,제,가지런할 제
3__,堤,둑,제,둑 제
7__,祖,할아비,조,할아비 조
6__,朝,아침,조,아침 조
4ii,鳥,새,조,새 조
4ii,助,도울,조,도울 조
4ii,早,이를,조,이를 조
4ii,造,지을,조,지을 조
4__,條,가지,조,가지 조
4__,潮,밀물/조수,조,밀물/조수 조
4__,組,짤,조,짤 조
3ii,租,조세,조,조세 조
3ii,照,비칠,조,비칠 조
3ii,兆,억조,조,억조 조
3__,弔,조상할,조,조상할 조
